time,alt,atmos_pressure,base_time,lat,lon,qc_atmos_pressure,qc_logger_temp,qc_logger_volt,qc_rh_mean,qc_temp_mean,qc_wdir_vec_mean,qc_wspd_arith_mean,qc_wspd_vec_mean,qc_wxt_cumul_precip,qc_wxt_precip_rate_mean,rh_mean,rh_std,temp_mean,temp_std,time_offset,wdir_vec_mean,wspd_arith_mean,wspd_vec_mean,wxt_precip_rate_mean
2025-05-28 01:06:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.3,0.053,12.29,0.03,2025-05-28 01:06:00,275.7,1.82,1.744,3.1
2025-05-28 01:07:00,158.0,100.7,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.4,0.091,12.2,0.0,2025-05-28 01:07:00,263.8,1.628,1.591,3.2
2025-05-28 01:08:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.0,0.071,12.2,0.0,2025-05-28 01:08:00,278.7,1.352,1.314,2.8
2025-05-28 01:09:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.1,0.06,12.16,0.049,2025-05-28 01:09:00,282.1,1.475,1.44,3.0
2025-05-28 01:10:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.3,0.065,12.1,0.0,2025-05-28 01:10:00,280.4,0.762,0.734,5.4
2025-05-28 01:11:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.4,0.05,12.1,0.0,2025-05-28 01:11:00,248.7,0.795,0.778,4.1
2025-05-28 01:12:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.2,0.062,12.1,0.0,2025-05-28 01:12:00,267.7,0.807,0.745,4.4
2025-05-28 01:13:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.1,0.051,12.1,0.0,2025-05-28 01:13:00,275.3,1.13,1.111,2.4
2025-05-28 01:14:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.5,0.152,12.1,0.0,2025-05-28 01:14:00,246.4,1.1,1.041,2.2
2025-05-28 01:15:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.8,0.036,12.1,0.0,2025-05-28 01:15:00,230.2,1.347,1.32,2.5
2025-05-28 01:16:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.9,0.082,12.1,0.0,2025-05-28 01:16:00,206.9,1.487,1.472,3.5
2025-05-28 01:17:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,96.9,0.049,12.1,0.0,2025-05-28 01:17:00,240.5,1.19,1.108,3.5
2025-05-28 01:18:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.1,0.042,12.1,0.0,2025-05-28 01:18:00,250.1,0.753,0.707,4.2
2025-05-28 01:19:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.2,0.068,12.1,0.0,2025-05-28 01:19:00,224.4,0.642,0.629,3.9
2025-05-28 01:20:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.3,0.0,12.1,0.0,2025-05-28 01:20:00,269.2,0.663,0.594,5.6
2025-05-28 01:21:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.3,0.059,12.1,0.0,2025-05-28 01:21:00,264.6,1.0,0.95,4.3
2025-05-28 01:22:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.4,0.049,12.06,0.05,2025-05-28 01:22:00,256.6,0.968,0.941,4.3
2025-05-28 01:23:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.4,0.048,12.0,0.0,2025-05-28 01:23:00,237.0,0.737,0.67,3.2
2025-05-28 01:24:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.6,0.047,12.0,0.0,2025-05-28 01:24:00,252.1,0.272,0.226,3.5
2025-05-28 01:25:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.7,0.042,12.0,0.0,2025-05-28 01:25:00,244.4,0.318,0.278,3.3
2025-05-28 01:26:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.7,0.048,12.0,0.0,2025-05-28 01:26:00,243.9,0.353,0.304,1.9
2025-05-28 01:27:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.8,0.039,12.0,0.0,2025-05-28 01:27:00,267.7,0.637,0.624,2.4
2025-05-28 01:28:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.7,0.0,12.0,0.0,2025-05-28 01:28:00,246.0,0.607,0.584,2.1
2025-05-28 01:29:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.7,0.0,12.0,0.0,2025-05-28 01:29:00,243.4,0.7,0.662,3.2
2025-05-28 01:30:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.6,0.06,11.98,0.039,2025-05-28 01:30:00,262.5,0.907,0.888,2.4
2025-05-28 01:31:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.6,0.05,11.92,0.037,2025-05-28 01:31:00,232.6,0.478,0.438,2.4
2025-05-28 01:32:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.8,0.0,11.9,0.0,2025-05-28 01:32:00,283.9,0.333,0.3,2.6
2025-05-28 01:33:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.8,0.0,11.9,0.0,2025-05-28 01:33:00,303.7,0.727,0.723,2.5
2025-05-28 01:34:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.7,0.037,11.9,0.0,2025-05-28 01:34:00,277.4,0.257,0.219,2.7
2025-05-28 01:35:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.8,0.043,11.9,0.0,2025-05-28 01:35:00,324.0,0.607,0.586,3.4
2025-05-28 01:36:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,97.9,0.101,11.9,0.0,2025-05-28 01:36:00,344.2,0.637,0.629,2.7
2025-05-28 01:37:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.3,0.084,11.9,0.0,2025-05-28 01:37:00,352.2,0.713,0.71,2.2
2025-05-28 01:38:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,98.7,0.144,11.95,0.05,2025-05-28 01:38:00,14.07,0.542,0.514,3.6
2025-05-28 01:39:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.1,0.132,12.0,0.0,2025-05-28 01:39:00,39.54,0.417,0.392,2.2
2025-05-28 01:40:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.5,0.05,12.0,0.0,2025-05-28 01:40:00,62.21,0.493,0.487,3.4
2025-05-28 01:41:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.4,0.018,11.92,0.042,2025-05-28 01:41:00,86.4,0.243,0.232,3.7
2025-05-28 01:42:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.4,0.043,11.9,0.0,2025-05-28 01:42:00,172.3,0.183,0.158,3.4
2025-05-28 01:43:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.4,0.0,11.9,0.0,2025-05-28 01:43:00,240.5,0.247,0.238,3.6
2025-05-28 01:44:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.5,0.049,11.9,0.0,2025-05-28 01:44:00,286.6,0.092,0.061,4.1
2025-05-28 01:45:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.5,0.0,11.9,0.0,2025-05-28 01:45:00,269.9,0.197,0.193,3.4
2025-05-28 01:46:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.5,0.0,11.9,0.0,2025-05-28 01:46:00,280.6,0.115,0.112,5.2
2025-05-28 01:47:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.5,0.0,11.9,0.0,2025-05-28 01:47:00,322.2,0.245,0.241,4.1
2025-05-28 01:48:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.5,0.0,11.9,0.0,2025-05-28 01:48:00,326.6,0.397,0.391,3.8
2025-05-28 01:49:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.4,0.052,11.9,0.0,2025-05-28 01:49:00,327.9,0.555,0.547,4.0
2025-05-28 01:50:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.3,0.037,11.86,0.05,2025-05-28 01:50:00,327.4,0.212,0.204,2.6
2025-05-28 01:51:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.3,0.0,11.84,0.048,2025-05-28 01:51:00,352.7,0.132,0.074,3.2
2025-05-28 01:52:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.3,0.028,11.9,0.013,2025-05-28 01:52:00,53.29,0.347,0.301,2.8
2025-05-28 01:53:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.4,0.043,11.9,0.0,2025-05-28 01:53:00,25.85,0.3,0.22,2.8
2025-05-28 01:54:00,158.0,100.8,2025-05-28,39.422,-77.21,0,0,0,0,0,0,0,0,0,0,99.7,0.085,11.9,0.0,2025-05-28 01:54:00,17.32,0.532,0.504,5.1
